# FROM-URL	TO-URL
/hu/docs/A_Mozilla_fejlesztői_centrum_tartalma	/hu/docs/Mozilla_fejlesztői_centrum_-_Tartalom
/hu/docs/Developer_Guide	/hu/docs/Mozilla/Developer_guide
/hu/docs/Fajlok_hasznalata_webes_alkalmazasokban	/hu/docs/Web/API/File/Fajlok_hasznalata_webes_alkalmazasokban
/hu/docs/HTML	/hu/docs/Web/HTML
/hu/docs/HTML/Element	/hu/docs/Web/HTML/Element
/hu/docs/HTML/Element/br	/hu/docs/Web/HTML/Element/br
/hu/docs/JavaScript	/hu/docs/Web/JavaScript
/hu/docs/JavaScript_1.5_kézikönyv	/hu/docs/Web/JavaScript/Guide
/hu/docs/Kezdőlap	/hu/docs/Web
/hu/docs/Kiterjesztések	/hu/docs/Mozilla/Add-ons
/hu/docs/MDN/Getting_started	/hu/docs/MDN/Contribute/Getting_started
/hu/docs/Web/JavaScript/JavaScript_1.5_kézikönyv	/hu/docs/Web/JavaScript/Guide
/hu/docs/en	/en-US/
